"","week","prop.ascertain","lim.non.HH","measure","intervention","ymin","lower","middle","upper","ymax"
"297",1,0.5,"5","hh.con","Quarantine + SD",0,0,0,12,62
"298",2,0.5,"5","hh.con","Quarantine + SD",0,0,10,43,106
"299",3,0.5,"5","hh.con","Quarantine + SD",0,0,20,80,196
"300",4,0.5,"5","hh.con","Quarantine + SD",0,0,35,111,263
"301",5,0.5,"5","hh.con","Quarantine + SD",0,0,58,192,449
"302",6,0.5,"5","hh.con","Quarantine + SD",0,6,92,386,961
"303",7,0.5,"5","hh.con","Quarantine + SD",0,16,183,544,1855
"304",8,0.5,"5","hh.con","Quarantine + SD",0,48,163,530,2395
"305",1,0.75,"5","hh.con","Quarantine + SD",0,0,0,20,95
"306",2,0.75,"5","hh.con","Quarantine + SD",0,0,5,21,92
"307",3,0.75,"5","hh.con","Quarantine + SD",0,0,8,38,110
"308",4,0.75,"5","hh.con","Quarantine + SD",0,0,12,76,225
"309",5,0.75,"5","hh.con","Quarantine + SD",0,0,20,113,365
"310",6,0.75,"5","hh.con","Quarantine + SD",0,0,24,150,877
"311",7,0.75,"5","hh.con","Quarantine + SD",0,0,32,276,1469
"312",8,0.75,"5","hh.con","Quarantine + SD",0,0,35,203,1270
"313",1,1,"5","hh.con","Quarantine + SD",0,0,0,22,73
"314",2,1,"5","hh.con","Quarantine + SD",0,0,4,18,100
"315",3,1,"5","hh.con","Quarantine + SD",0,0,2,20,129
"316",4,1,"5","hh.con","Quarantine + SD",0,0,8,59,209
"317",5,1,"5","hh.con","Quarantine + SD",0,0,0,66,500
"318",6,1,"5","hh.con","Quarantine + SD",0,0,8,168,584
"319",7,1,"5","hh.con","Quarantine + SD",0,0,0,152,1170
"320",8,1,"5","hh.con","Quarantine + SD",0,0,0,194,947
"321",1,0,"10","hh.con","Quarantine + SD",0,0,0,22,70
"322",2,0,"10","hh.con","Quarantine + SD",0,0,9,28,101
"323",3,0,"10","hh.con","Quarantine + SD",0,0,24,103,231
"324",4,0,"10","hh.con","Quarantine + SD",0,12,72,230,508
"325",5,0,"10","hh.con","Quarantine + SD",0,26,164,426,1048
"326",6,0,"10","hh.con","Quarantine + SD",0,78,351,834,2323
"327",7,0,"10","hh.con","Quarantine + SD",0,242,702,1632,5021
"328",8,0,"10","hh.con","Quarantine + SD",2,256,812,2070,6619
"329",1,0.25,"10","hh.con","Quarantine + SD",0,0,4,28,54
"330",2,0.25,"10","hh.con","Quarantine + SD",0,0,12,46,101
"331",3,0.25,"10","hh.con","Quarantine + SD",0,0,17,70,198
"332",4,0.25,"10","hh.con","Quarantine + SD",0,2,70,172,353
"333",5,0.25,"10","hh.con","Quarantine + SD",0,9,136,367,941
"334",6,0.25,"10","hh.con","Quarantine + SD",0,21,322,816,1692
"335",7,0.25,"10","hh.con","Quarantine + SD",0,95,546,1608,4846
"336",8,0.25,"10","hh.con","Quarantine + SD",0,138,736,1783,5588
"337",1,0.5,"10","hh.con","Quarantine + SD",0,0,2,21,68
"338",2,0.5,"10","hh.con","Quarantine + SD",0,2,16,47,112
"339",3,0.5,"10","hh.con","Quarantine + SD",0,0,22,78,255
"340",4,0.5,"10","hh.con","Quarantine + SD",0,0,58,150,392
"341",5,0.5,"10","hh.con","Quarantine + SD",0,6,47,242,651
"342",6,0.5,"10","hh.con","Quarantine + SD",0,9,96,385,1013
"343",7,0.5,"10","hh.con","Quarantine + SD",0,38,260,685,2051
"344",8,0.5,"10","hh.con","Quarantine + SD",0,40,248,850,2827
"345",1,0.75,"10","hh.con","Quarantine + SD",0,0,0,26,71
"346",2,0.75,"10","hh.con","Quarantine + SD",0,0,12,27,94
"347",3,0.75,"10","hh.con","Quarantine + SD",0,4,22,72,218
"348",4,0.75,"10","hh.con","Quarantine + SD",0,0,24,87,349
"349",5,0.75,"10","hh.con","Quarantine + SD",0,0,24,143,602
"350",6,0.75,"10","hh.con","Quarantine + SD",0,0,86,291,1152
"351",7,0.75,"10","hh.con","Quarantine + SD",0,0,116,730,1950
"352",8,0.75,"10","hh.con","Quarantine + SD",0,0,190,681,3035
"353",1,1,"10","hh.con","Quarantine + SD",0,0,0,19,65
"354",2,1,"10","hh.con","Quarantine + SD",0,0,4,27,99
"355",3,1,"10","hh.con","Quarantine + SD",0,0,10,38,155
"356",4,1,"10","hh.con","Quarantine + SD",0,0,18,98,267
"357",5,1,"10","hh.con","Quarantine + SD",0,0,26,128,540
"358",6,1,"10","hh.con","Quarantine + SD",0,0,13,253,1050
"359",7,1,"10","hh.con","Quarantine + SD",0,0,18,417,2362
"360",8,1,"10","hh.con","Quarantine + SD",0,0,2,369,2212
"361",1,0,"Inf","hh.con","Quarantine + SD",0,0,0,21,68
"362",2,0,"Inf","hh.con","Quarantine + SD",0,0,12,52,98
"363",3,0,"Inf","hh.con","Quarantine + SD",0,0,26,98,332
"364",4,0,"Inf","hh.con","Quarantine + SD",0,8,100,329,868
"365",5,0,"Inf","hh.con","Quarantine + SD",0,22,206,692,1735
"366",6,0,"Inf","hh.con","Quarantine + SD",0,48,524,1525,4199
"367",7,0,"Inf","hh.con","Quarantine + SD",0,261,1110,3364,8238
"368",8,0,"Inf","hh.con","Quarantine + SD",0,440,1937,4377,9129
"369",1,0.25,"Inf","hh.con","Quarantine + SD",0,0,0,19,87
"370",2,0.25,"Inf","hh.con","Quarantine + SD",0,0,16,56,180
"371",3,0.25,"Inf","hh.con","Quarantine + SD",0,0,18,104,328
"372",4,0.25,"Inf","hh.con","Quarantine + SD",0,14,80,160,781
"373",5,0.25,"Inf","hh.con","Quarantine + SD",0,37,191,434,1308
"374",6,0.25,"Inf","hh.con","Quarantine + SD",0,106,500,1012,2954
"375",7,0.25,"Inf","hh.con","Quarantine + SD",0,286,1010,2436,7170
"376",8,0.25,"Inf","hh.con","Quarantine + SD",0,370,1383,3160,8061
"377",1,0.5,"Inf","hh.con","Quarantine + SD",0,0,2,26,56
